timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
391046136,1114122,2228234,0,0,0,0,0,759.21564,759.788,759.21564,759.788,0.016912961,0.00033899068,6.251539e-08,-0.224935,0.46111843,-10.185853,-0.03466126,0.025662906,0.018561589,53.125,54.0
392014289,1114122,2228234,0,0,0,0,0,760.00336,759.788,760.00336,759.788,0.02017294,0.00028556157,5.1785946e-08,-0.1790531,0.15213485,-9.54291,-0.048519623,0.054061774,0.014753453,53.24513,54.0
393062549,1114122,2228234,0,0,0,0,0,759.9749,759.788,759.9749,759.788,0.018210376,0.00025706348,5.123853e-08,-0.03148368,0.26229134,-10.2824745,0.033231653,0.030899512,-0.024201676,53.2753,54.0
394041087,1114122,2228234,0,0,0,0,0,759.9773,759.788,759.9773,759.788,0.019088944,0.0003984059,8.429924e-08,0.014393351,0.44827464,-10.456566,0.0047243573,-0.0018832394,0.016779164,53.226665,54.0
395037637,1114122,2228234,0,0,0,0,0,759.9669,759.788,759.9669,759.788,0.01824052,0.0003322424,9.61311e-08,-0.118973054,0.31746757,-10.199136,-0.034443516,0.08014276,0.027579851,53.343372,54.0
396024495,1114122,2228234,0,0,0,0,0,759.9669,760.4917,759.9669,760.4917,0.019439198,0.0003146472,6.5209335e-08,-0.5509081,0.18733944,-11.199209,0.040506177,0.047935028,-0.0075152284,53.25,54.0
397020098,1114122,2228234,0,0,0,0,0,759.9669,760.4325,759.9669,760.4325,0.01676366,0.0003398555,5.7209867e-08,-0.07709355,0.20243733,-9.7985325,0.016101927,-0.008453877,0.015263683,53.349358,54.0
398007223,1114122,2228234,0,0,0,0,0,760.7305,761.36456,760.7305,761.36456,0.017522698,0.00035497427,5.983057e-08,-0.092876144,0.20770182,-10.141916,0.009047778,-0.00057942164,-0.0018201034,53.350903,54.0
399048771,1114122,2228234,0,0,0,0,0,764.6781,760.51385,764.6781,760.51385,0.016093962,0.0003811313,6.137553e-08,-0.1214876,0.29269403,-10.340463,-0.022870343,0.029991964,0.014083029,53.427883,54.0
400032304,1114122,2228234,0,0,0,0,0,751.7336,760.5276,751.7336,760.5276,0.01736396,0.00039908642,6.519703e-08,-0.24907698,0.02508096,-8.862257,0.0050112163,0.045876905,0.021178855,53.375,54.0
401067878,1114122,2228234,0,0,0,0,0,754.38116,760.5411,754.38116,760.5411,0.019041063,0.0003200251,5.212384e-08,0.08510794,-0.8674904,-9.957262,0.0023682448,0.03846674,0.012344797,53.5,54.0
402011647,1114122,2228234,0,0,0,0,0,758.2706,760.5411,758.2706,760.5411,0.017987791,0.00024110367,2.9866815e-08,0.04512122,0.3027385,-8.748607,-0.028055795,-0.032064416,-0.00843064,53.5,55.0
403010687,1114122,2228234,0,0,0,0,0,757.32855,760.5411,757.32855,760.5411,0.021397188,0.00030362196,4.1928036e-08,-0.04616539,0.38512626,-9.460963,-0.02717063,-0.038220983,-7.5760036e-05,53.5,55.0
404073675,1114122,2228234,0,0,0,0,0,758.144,760.5411,758.144,760.5411,0.017773323,0.00023834372,3.3445293e-08,-0.21973675,0.12641658,-9.242164,-0.016555455,-0.011851238,-0.0050858986,53.594204,54.8
405043743,1114122,2228234,0,0,0,0,0,758.12726,760.5411,758.12726,760.5411,0.01933239,0.00027041935,4.0974186e-08,-0.11601715,0.11000916,-10.388687,0.023401167,0.00643903,-0.013247938,53.62031,54.0
406071501,1114122,2228234,0,0,0,0,0,758.67645,760.5411,758.67645,760.5411,0.017112363,0.00031493205,4.5214914e-08,0.021046687,0.86641514,-10.312214,-0.035666082,0.024076153,-0.0007440901,53.703125,54.0
407036903,1114122,2228234,0,0,0,0,0,759.4264,760.5411,759.4264,760.5411,0.016799418,0.00029706574,5.057059e-08,-0.36004934,0.19292289,-8.437556,-0.07889198,0.03653731,0.0026412203,53.71875,54.0
408004006,1114122,2228234,0,0,0,0,0,758.66174,760.5411,758.66174,760.5411,0.018210655,0.00028679878,5.1196917e-08,-0.3968273,1.4845244,-12.305435,-0.06610284,0.023338115,0.03441082,53.75,54.0
408995832,1114122,2228234,0,0,0,0,0,758.65826,760.5411,758.65826,760.5411,0.017981477,0.00029213942,4.4205972e-08,-0.2752147,0.15107621,-9.813762,-0.012002799,0.03422113,0.0002836291,53.720314,54.0
