timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
394099929,394099901,0.32720658,5.7493357e-06,-2.2810774,9.9160795,0.05830389,9.891991,1
394205135,394205107,0.327258,5.742832e-06,2.5102344,10.319841,0.06784425,10.297287,1
394297975,394297947,0.32736528,5.728336e-06,-4.0251594,10.05525,0.17903204,10.072117,1
394402988,394402960,0.32729638,5.712066e-06,-0.4081512,10.077022,0.0018368238,9.995759,1
394500090,394500062,0.32745525,5.6887984e-06,-0.22331578,9.732413,0.0005693453,9.682863,1
394600747,394600719,0.3273448,5.66994e-06,5.193246,9.751369,0.307305,9.843059,1
394703613,394703583,0.32710043,5.6585222e-06,-2.2786093,9.601182,0.06008589,9.576601,1
394802714,394802686,0.32702672,5.6490708e-06,1.437525,9.241381,0.024845714,9.186288,1
394900386,394900349,0.32710364,5.63466e-06,-4.3256917,8.945068,0.23242614,8.983643,1
395098699,395098654,0.32715312,5.5901683e-06,2.7175522,8.917894,0.092013374,8.904704,1
395197519,395197491,0.3270611,5.571641e-06,2.75308,8.7780285,0.09593964,8.765868,1
395300985,395300952,0.3269763,5.5547125e-06,-2.853515,8.543881,0.10589186,8.540003,1
395399422,395399391,0.3270603,5.5346827e-06,-5.381567,8.256796,0.38972965,8.344078,1
395498621,395498594,0.32688916,5.5095356e-06,3.3296585,8.5863085,0.14346646,8.587794,1
395603350,395603320,0.3269939,5.488312e-06,-1.9391891,8.826215,0.047339458,8.783697,1
395701092,395701064,0.32714492,5.4695674e-06,0.8609898,8.613443,0.009562616,8.573694,1
395801417,395801389,0.3270996,5.4554407e-06,-2.2125354,8.367315,0.06500575,8.34362,1
395898744,395898667,0.3271839,5.4395623e-06,-2.4177234,8.122889,0.07995769,8.106274,1
396003580,396003550,0.32721713,5.4192537e-06,1.3851225,8.006116,0.02662637,7.958949,1
396101199,396101172,0.32737136,5.3955387e-06,2.1768358,7.7807536,0.0676686,7.765386,1
396199946,396199918,0.3272001,5.372102e-06,-1.2987518,7.6298914,0.024563571,7.5991015,1
396299411,396299370,0.3273056,5.3488825e-06,-1.3351842,7.338545,0.026991678,7.3058414,1
396399385,396399347,0.32738388,5.3258227e-06,1.7593942,7.3616195,0.046720814,7.336967,1
396501708,396501677,0.32752842,5.303789e-06,-2.470419,7.110795,0.09536314,7.0929446,1
396600430,396600402,0.3275268,5.2802484e-06,2.5348544,7.0091844,0.10185821,7.0052643,1
396699036,396699008,0.32737654,5.2576565e-06,-1.055802,7.0696964,0.0175195,7.039209,1
396798028,396798000,0.3275727,5.233941e-06,2.5592022,7.008847,0.10382934,7.0053606,1
396901594,396901517,0.3278252,5.212976e-06,2.9237056,7.111439,0.1335572,7.119201,1
397002092,397002064,0.3275638,5.19286e-06,3.2474177,6.930053,0.16908194,6.9478383,1
397099524,397099489,0.32788056,5.17051e-06,-3.5600548,6.9464974,0.2027239,6.96117,1
397204141,397204110,0.3279223,5.148558e-06,-1.5970922,7.0599995,0.040143274,7.0184216,1
397302063,397302029,0.32773656,5.1268544e-06,-2.1327295,7.0465193,0.071722336,7.0285573,1
397402101,397402072,0.32777715,5.1063494e-06,-1.2700634,6.7819552,0.026427336,6.7498207,1
397499474,397499447,0.3277628,5.0843214e-06,3.0354772,6.630996,0.15439479,6.6397824,1
397598929,397598898,0.3275803,5.0646e-06,1.2731084,6.7255735,0.026776815,6.6983023,1
397702313,397702285,0.3277564,5.04728e-06,-6.321149,6.695123,0.66311824,6.840948,1
397802456,397802370,0.32810467,5.0281055e-06,-5.3077617,6.892128,0.45417893,6.984162,1
397900010,397899975,0.32812613,5.005159e-06,0.6914681,6.9461884,0.00764813,6.913217,1
397998710,397998629,0.3282588,4.983265e-06,-0.31746662,6.8030357,0.0016460797,6.7694807,1
398102606,398102575,0.32838702,4.9641762e-06,-0.7628748,6.5803213,0.009826908,6.5335526,1
398202556,398202528,0.3283463,4.948138e-06,4.4953246,6.5697007,0.34177005,6.6483674,1
398300205,398300174,0.32855755,4.929577e-06,-1.5908347,6.4915657,0.04331698,6.464846,1
398399208,398399180,0.3285286,4.9063165e-06,0.8094785,6.4051623,0.011366795,6.3760214,1
398502857,398502819,0.3286187,4.8836396e-06,-2.1222377,6.283545,0.07964175,6.266084,1
398601624,398601593,0.32866418,4.862637e-06,2.113823,6.116358,0.08117118,6.1104727,1
398700196,398700168,0.32870793,4.8475276e-06,-2.514172,6.1708646,0.113815516,6.162386,1
398799103,398799073,0.3286254,4.833058e-06,0.5253964,5.9845133,0.0051251063,5.9567156,1
398898421,398898393,0.32900187,4.813907e-06,-2.4957302,5.977783,0.115774415,5.966915,1
399003179,399003144,0.32919842,4.788904e-06,-2.1902964,5.792299,0.09202638,5.767626,1
399100774,399100742,0.32926065,4.7644407e-06,1.8821485,5.822889,0.067596905,5.815804,1
399200558,399200525,0.32910934,4.7427507e-06,2.0816379,5.701242,0.08444975,5.6974983,1
399303235,399303204,0.3290943,4.7227545e-06,-2.3441825,5.5588603,0.10983849,5.5489726,1
399397497,399397469,0.32919687,4.6989203e-06,-0.5123561,5.455546,0.00534642,5.426198,1
399500569,399500541,0.3292715,4.675901e-06,1.4034683,5.2794056,0.04145507,5.264731,1
