timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
377870581,2162698,2162698,1114122,0,0,0.0595443,0.059544392,0.0,0.0,2162698,2162698,2228234,0,0,0.002477476,0.002477476,0.0,0.0,1,1,0,0,1,1,0,0
378072988,2162698,2162698,1114122,0,0,0.09198636,0.09198636,0.0,0.0,2162698,2162698,2228234,0,0,0.0044201976,0.0044201976,0.0,0.0,1,1,0,0,1,1,0,0
378270757,2162698,2162698,1114122,0,0,0.11602429,0.11602429,0.0,0.0,2162698,2162698,2228234,0,0,0.0048541417,0.004854141,0.0,0.0,1,1,0,0,1,1,0,0
378473116,2162698,2162698,1114122,0,0,0.1480951,0.14809527,0.0,0.0,2162698,2162698,2228234,0,0,0.008216768,0.0082167685,0.0,0.0,1,1,0,0,1,1,0,0
378671085,2162698,2162698,1114122,0,0,0.2500486,0.25004864,0.0,0.0,2162698,2162698,2228234,0,0,0.0030952254,0.0030952252,0.0,0.0,1,1,0,0,1,1,0,0
378868900,2162698,2162698,1114122,0,0,0.07606378,0.07606378,0.0,0.0,2162698,2162698,2228234,0,0,0.0040989253,0.0040989257,0.0,0.0,1,1,0,0,1,1,0,0
379071344,2162698,2162698,1114122,0,0,0.0749692,0.07496909,0.0,0.0,2162698,2162698,2228234,0,0,0.0024193437,0.002419344,0.0,0.0,1,1,0,0,1,1,0,0
379269090,2162698,2162698,1114122,0,0,0.06759572,0.06759565,0.0,0.0,2162698,2162698,2228234,0,0,0.0035416617,0.003541662,0.0,0.0,1,1,0,0,1,1,0,0
379471399,2162698,2162698,1114122,0,0,0.050496098,0.05049609,0.0,0.0,2162698,2162698,2228234,0,0,0.0039694235,0.003969424,0.0,0.0,1,1,0,0,1,1,0,0
379673889,2162698,2162698,1114122,0,0,0.25497794,0.25497812,0.0,0.0,2162698,2162698,2228234,0,0,0.00506079,0.0050607896,0.0,0.0,1,1,0,0,1,1,0,0
379871604,2162698,2162698,1114122,0,0,0.14482741,0.14482759,0.0,0.0,2162698,2162698,2228234,0,0,0.0034601083,0.0034601085,0.0,0.0,1,1,0,0,1,1,0,0
380069459,2162698,2162698,1114122,0,0,0.060565516,0.060565498,0.0,0.0,2162698,2162698,2228234,0,0,0.004362868,0.0043628695,0.0,0.0,1,1,0,0,1,1,0,0
380271810,2162698,2162698,1114122,0,0,0.10026938,0.100269355,0.0,0.0,2162698,2162698,2228234,0,0,0.0018978082,0.0018978073,0.0,0.0,1,1,0,0,1,1,0,0
380469682,2162698,2162698,1114122,0,0,0.13586392,0.13586394,0.0,0.0,2162698,2162698,2228234,0,0,0.0032123176,0.0032123178,0.0,0.0,1,1,0,0,1,1,0,0
380672018,2162698,2162698,1114122,0,0,0.061965097,0.061965086,0.0,0.0,2162698,2162698,2228234,0,0,0.0037875432,0.003787543,0.0,0.0,1,1,0,0,1,1,0,0
380874407,2162698,2162698,1114122,0,0,0.122561865,0.12256183,0.0,0.0,2162698,2162698,2228234,0,0,0.0027061196,0.0027061196,0.0,0.0,1,1,0,0,1,1,0,0
381072198,2162698,2162698,1114122,0,0,0.21664058,0.21664058,0.0,0.0,2162698,2162698,2228234,0,0,0.0032086775,0.0032086775,0.0,0.0,1,1,0,0,1,1,0,0
381270243,2162698,2162698,1114122,0,0,0.08086949,0.080869585,0.0,0.0,2162698,2162698,2228234,0,0,0.0029306023,0.0029306025,0.0,0.0,1,1,0,0,1,1,0,0
381472516,2162698,2162698,1114122,0,0,0.17337221,0.17337213,0.0,0.0,2162698,2162698,2228234,0,0,0.0029193028,0.0029193026,0.0,0.0,1,1,0,0,1,1,0,0
381670358,2162698,2162698,1114122,0,0,0.120348014,0.120348126,0.0,0.0,2162698,2162698,2228234,0,0,0.0064125494,0.0064125485,0.0,0.0,1,1,0,0,1,1,0,0
381868112,2162698,2162698,1114122,0,0,0.16056472,0.16056472,0.0,0.0,2162698,2162698,2228234,0,0,0.0011813543,0.0011813542,0.0,0.0,1,1,0,0,1,1,0,0
382070649,2162698,2162698,1114122,0,0,0.17418496,0.17418496,0.0,0.0,2162698,2162698,2228234,0,0,0.0015382713,0.0015382711,0.0,0.0,1,1,0,0,1,1,0,0
