timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
398530326,1,0,1,1,0,0,1,1,0,1,1,1,1,0
399036484,1,0,1,1,0,0,1,1,0,1,1,1,1,0
399543883,1,0,1,1,0,0,1,1,0,1,1,1,1,0
400054876,1,0,1,1,0,0,1,1,0,1,1,1,1,0
400560656,1,0,1,1,0,0,1,1,0,1,1,1,1,0
401062603,1,0,1,1,0,0,1,1,0,1,1,1,1,0
401565854,1,0,1,1,0,0,1,1,0,1,1,1,1,0
402071039,1,0,1,1,0,0,1,1,0,1,1,1,1,0
402572531,1,0,1,1,0,0,1,1,0,1,1,1,1,0
403072686,1,0,1,1,0,0,1,1,0,1,1,1,1,0
403573551,1,0,1,1,0,0,1,1,0,1,1,1,1,0
404079314,1,0,1,1,0,0,1,1,0,1,1,1,1,0
404587804,1,0,1,1,0,0,1,1,0,1,1,1,1,0
405091776,1,0,1,1,0,0,1,1,0,1,1,1,1,0
405599619,1,0,1,1,0,0,1,1,0,1,1,1,1,0
406106651,1,0,1,1,0,0,1,1,0,1,1,1,1,0
406613546,1,0,1,1,0,0,1,1,0,1,1,1,1,0
407116643,1,0,1,1,0,0,1,1,0,1,1,1,1,0
407623341,1,0,1,1,0,0,1,1,0,1,1,1,1,0
408133479,1,0,1,1,0,0,1,1,0,1,1,1,1,0
408638545,1,0,1,1,0,0,1,1,0,1,1,1,1,0
409143633,1,0,1,1,0,0,1,1,0,1,1,1,1,0
409647476,1,0,1,1,0,0,1,1,0,1,1,1,1,0
410154794,1,0,1,1,0,0,1,1,0,1,1,1,1,0
410660651,1,0,1,1,0,0,1,1,0,1,1,1,1,0
411167855,1,0,1,1,0,0,1,1,0,1,1,1,1,0
411670259,1,0,1,1,0,0,1,1,0,1,1,1,1,0
412177250,1,0,1,1,0,0,1,1,0,1,1,1,1,0
412682406,1,0,1,1,0,0,1,1,0,1,1,1,1,0
413186475,1,0,1,1,0,0,1,1,0,1,1,1,1,0
413694497,1,0,1,1,0,0,1,1,0,1,1,1,1,0
414199593,1,0,1,1,0,0,1,1,0,1,1,1,1,0
414704276,1,0,1,1,0,0,1,1,0,1,1,1,1,0
415205520,1,0,1,1,0,0,1,1,0,1,1,1,1,0
415705582,1,0,1,1,0,0,1,1,0,1,1,1,1,0
416213900,1,0,1,1,0,0,1,1,0,1,1,1,1,0
416722337,1,0,1,1,0,0,1,1,0,1,1,1,1,0
417225583,1,0,1,1,0,0,1,1,0,1,1,1,1,0
417729571,1,0,1,1,0,0,1,1,0,1,1,1,1,0
418233555,1,0,1,1,0,0,1,1,0,1,1,1,1,0
418741006,1,0,1,1,0,0,1,1,0,1,1,1,1,0
419246476,1,0,1,1,0,0,1,1,0,1,1,1,1,0
419257985,1,0,1,1,0,0,1,1,0,1,1,1,1,0
419766513,1,0,1,1,0,0,1,1,0,1,1,1,1,0
420272822,1,0,1,1,0,0,1,1,0,1,1,1,1,0
420782562,1,0,1,1,0,0,1,1,0,1,1,1,1,0
421289358,1,0,1,1,0,0,1,1,0,1,1,1,1,0
421796517,1,0,1,1,0,0,1,1,0,1,1,1,1,0
422302610,1,0,1,1,0,0,1,1,0,1,1,1,1,0
422809610,1,0,1,1,0,0,1,1,0,1,1,1,1,0
423316294,1,0,1,1,0,0,1,1,0,1,1,1,1,0
423817661,1,0,1,1,0,0,1,1,0,1,1,1,1,0
424280023,0,0,1,1,0,0,1,1,0,1,1,1,1,0
424482809,0,0,1,1,0,0,1,1,0,1,1,1,1,0
424985796,0,0,1,1,0,0,1,1,0,1,1,1,1,0
