timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
377203580,377199727,2162698,-0.0068227286,0.001888797,-0.0021007292,0.34906584,2.083836e-09,2.083834e-09,3.4048997e-09,2162698,0.013531568,0.015460888,-0.07950044,0.4,0.00011523104,0.00011522523,5.0095205e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
377400659,377397582,2162698,-0.0068053906,0.0018831978,-0.002095286,0.34906584,2.0984006e-09,2.0983935e-09,3.3972463e-09,2162698,0.02118749,0.03843786,-0.07829702,0.4,9.9589335e-05,9.958411e-05,4.997152e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
377602863,377599933,2162698,-0.006819429,0.0018864799,-0.0020969415,0.34906584,2.122351e-09,2.1223383e-09,3.404747e-09,2162698,0.022240536,0.034754504,-0.076961875,0.4,8.749131e-05,8.7487024e-05,5.0070635e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
377801255,377797819,2162698,-0.006803301,0.0018815727,-0.002088775,0.34906584,2.1369926e-09,2.1369753e-09,3.394888e-09,2162698,0.026718082,0.014351782,-0.07563337,0.4,7.815219e-05,7.814888e-05,4.994993e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
377994310,377991146,2162698,-0.0068121054,0.0018834571,-0.0020912583,0.34906584,2.1583304e-09,2.1583073e-09,3.4010788e-09,2162698,0.026957763,0.019922204,-0.07435458,0.4,7.016631e-05,7.016397e-05,5.000931e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
378192209,378189002,2162698,-0.00682809,0.0018872592,-0.0020949596,0.34906584,2.1830788e-09,2.1830504e-09,3.4071057e-09,2162698,0.027890814,0.006633916,-0.073666446,0.4,6.547505e-05,6.547325e-05,5.012233e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
378403828,378400347,2162698,-0.0068196747,0.0018846783,-0.0020907747,0.34906584,2.2010629e-09,2.2010282e-09,3.4019596e-09,2162698,0.021493208,0.016607657,-0.07157868,0.4,5.9372243e-05,5.9371047e-05,5.005624e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
378803412,378800554,2162698,-0.0068178405,0.0018834459,-0.0020776961,0.34906584,2.2397622e-09,2.2397142e-09,3.4018621e-09,2162698,0.021748507,0.009097143,-0.06868757,0.4,5.1028135e-05,5.1028495e-05,5.0032536e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
379001463,378998409,2162698,-0.0068329615,0.0018882563,-0.0020746896,0.34906584,2.264352e-09,2.2642959e-09,3.4097345e-09,2162698,0.013743658,0.0055087996,-0.06686555,0.4,4.7714635e-05,4.7715963e-05,5.013704e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
379199699,379196271,2162698,-0.0068158964,0.0018832531,-0.0020696174,0.34906584,2.2783182e-09,2.2782551e-09,3.4212526e-09,2162698,0.012131156,0.003064447,-0.06408501,0.4,4.4307817e-05,4.4309934e-05,5.0012295e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
