timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
392537885,0,0.0,-0.0,0.0,0.17108434,0.0,0.0,0.0,0.0
392600971,0,0.0,-0.0,0.0,0.0939759,0.0,0.0,0.0,0.0
392852351,0,0.0,-0.0,0.0,0.09518072,0.0,0.0,0.0,0.0
392872358,0,0.0,-0.0,0.0,0.09638554,0.0,0.0,0.0,0.0
392956149,0,0.0,-0.0,0.0,0.10963856,0.0,0.0,0.0,0.0
393044748,0,0.0,-0.0,0.0,0.13012049,0.0,0.0,0.0,0.0
393153885,0,0.0,-0.0,0.0,0.15783133,0.0,0.0,0.0,0.0
393225989,0,0.0,-0.0,0.0,0.17590362,0.0,0.0,0.0,0.0
393345967,0,0.0,-0.0,0.0,0.21084337,0.0,0.0,0.0,0.0
393646118,0,0.0,-0.0,0.0,0.21084337,0.0,0.0,0.0,0.0
393770094,0,0.0,-0.0,0.0,0.21204819,0.0,0.0,0.0,0.0
393814565,0,0.0,-0.0,0.0,0.21445782,0.0,0.0,0.0,0.0
393857416,0,0.0,-0.0,0.0,0.22168675,0.0,0.0,0.0,0.0
393966466,0,0.0,-0.0,0.0,0.20481928,0.0,0.0,0.0,0.0
394013333,0,0.0,-0.0,0.0,0.13373494,0.0,0.0,0.0,0.0
394207941,0,0.0,-0.0,0.0,0.13975903,0.0,0.0,0.0,0.0
394250846,0,0.0,-0.0,0.0,0.15421687,0.0,0.0,0.0,0.0
394338640,0,0.0,-0.0,0.0,0.2180723,0.0,0.0,0.0,0.0
394471092,0,0.0,-0.0,0.0,0.22168675,0.0,0.0,0.0,0.0
394557007,0,0.0,-0.0,0.0,0.2253012,0.0,0.0,0.0,0.0
394666715,0,0.0,-0.0,0.0,0.19759037,0.0,0.0,0.0,0.0
394709830,0,0.0,-0.0,0.0,0.17349398,0.0,0.0,0.0,0.0
394861356,0,0.0,-0.0,0.007317073,0.213253,0.0,0.0,0.0,0.0
394968727,0,0.0,-0.0,0.0,0.22771084,0.0,0.0,0.0,0.0
395033517,0,0.0,-0.0,0.0,0.22891566,0.0,0.0,0.0,0.0
395164264,0,0.0,-0.0,0.0,0.22891566,0.0,0.0,0.0,0.0
