timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
390943659,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
391447781,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
391953690,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
392459922,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
392964838,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
393473675,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
393981530,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
394486637,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
395499629,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
396008518,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
396513551,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
397016556,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
397520804,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
398027025,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
398530329,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
399036486,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
399543886,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
400054879,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
400560659,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
401062606,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
401565856,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
402071042,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
402572537,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
