timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
393643652,393619953,3997706,99.464836,51.75,100136.0,1.1897813
393864145,393842899,3997706,99.56789,51.76,100134.75,1.1897664
394031892,394010806,3997706,99.27724,51.77,100138.24,1.189808
394252191,394233742,3997706,98.75141,51.77,100144.49,1.1898822
394420134,394401609,3997706,99.42256,51.78,100136.5,1.1897873
394650909,394627179,3997706,99.27724,51.789997,100138.24,1.189808
394871225,394850162,3997706,98.43433,51.8,100148.25,1.1899269
395039195,395018106,3997706,98.60344,51.789997,100146.25,1.1899031
395259537,395241024,3997706,97.993065,51.8,100153.5,1.1899892
395427641,395408897,3997706,98.43433,51.809998,100148.25,1.1899269
395658187,395634488,3997706,98.077614,51.809998,100152.5,1.1899774
395826304,395802417,3997706,98.24673,51.82,100150.5,1.1899537
396046558,396025339,3997706,98.183304,51.82,100151.25,1.1899625
396266741,396248305,3997706,98.24673,51.84,100150.5,1.1899537
396434631,396416214,3997706,97.93229,51.84,100154.25,1.1899981
396665633,396641873,3997706,97.784325,51.85,100155.99,1.1900189
396833362,396809665,3997706,98.014206,51.85,100153.25,1.1899863
397053705,397032605,3997706,97.27963,51.85,100161.99,1.1900901
397221668,397200485,3997706,96.962555,51.86,100165.75,1.1901348
397441981,397423471,3997706,97.59407,51.86,100158.25,1.1900457
397672755,397649043,3997706,97.59407,51.879997,100158.25,1.1900457
397840691,397816943,3997706,97.69977,51.879997,100156.99,1.1900308
398061108,398039952,3997706,97.61521,51.879997,100158.0,1.1900427
398228965,398207816,3997706,97.42761,51.89,100160.25,1.1900696
398449332,398430751,3997706,97.06825,51.89,100164.5,1.19012
398617244,398598631,3997706,97.27963,51.899998,100161.99,1.1900901
398847957,398824235,3997706,97.06825,51.899998,100164.5,1.19012
399068247,399047208,3997706,97.403824,51.91,100160.5,1.1900724
399236155,399215099,3997706,97.27963,51.92,100162.0,1.1900902
399456648,399438055,3997706,97.110535,51.92,100163.99,1.1901139
399624655,399606023,3997706,96.94406,51.94,100166.0,1.1901377
399855241,399831549,3997706,96.962555,51.94,100165.75,1.1901348
400023170,399999396,3997706,97.17394,51.94,100163.25,1.1901051
400243538,400222398,3997706,97.23736,51.949997,100162.49,1.190096
400463847,400445352,3997706,96.71154,51.949997,100168.75,1.1901705
400631660,400613219,3997706,96.92293,51.949997,100166.25,1.1901407
400862494,400838821,3997706,96.88065,51.969997,100166.75,1.1901467
401030451,401006747,3997706,96.7961,51.969997,100167.75,1.1901586
401250781,401229684,3997706,96.65076,51.969997,100169.5,1.1901793
401471145,401452671,3997706,96.54507,51.98,100170.74,1.1901941
401638991,401620525,3997706,96.35483,51.989998,100173.0,1.190221
401869855,401846124,3997706,96.188354,51.989998,100175.0,1.1902447
402037816,402013985,3997706,96.52129,52.0,100171.0,1.1901972
402258057,402236966,3997706,97.04711,52.0,100164.75,1.1901228
402426103,402404886,3997706,96.12495,52.01,100175.75,1.1902536
402646293,402627883,3997706,96.50015,52.01,100171.25,1.1902001
402814159,402795730,3997706,96.27027,52.02,100174.0,1.1902329
403045012,403021267,3997706,96.188354,52.03,100175.0,1.1902447
403265465,403244278,3997706,96.01926,52.039997,100177.0,1.1902684
403433220,403412130,3997706,96.082664,52.039997,100176.25,1.1902596
403653547,403635098,3997706,95.43001,52.039997,100184.0,1.1903516
403821561,403802999,3997706,95.68368,52.05,100180.99,1.190316
404052322,404028602,3997706,95.91356,52.05,100178.25,1.1902833
404272669,404251587,3997706,95.9347,52.059998,100178.0,1.1902803
404440546,404419444,3997706,95.66254,52.07,100181.25,1.190319
404660876,404642415,3997706,95.28468,52.07,100185.74,1.1903723
404828791,404810295,3997706,95.70482,52.07,100180.75,1.190313
405059651,405035875,3997706,95.3666,52.09,100184.75,1.1903605
405227677,405203775,3997706,94.92533,52.09,100190.0,1.1904229
405447786,405426728,3997706,95.32432,52.09,100185.25,1.1903665
405668158,405649753,3997706,95.05216,52.1,100188.5,1.1904051
405836051,405817643,3997706,95.20013,52.11,100186.74,1.1903841
406066916,406043189,3997706,95.13672,52.12,100187.5,1.1903932
406234809,406211061,3997706,94.861916,52.12,100190.75,1.1904318
406455128,406434068,3997706,95.32432,52.12,100185.25,1.1903665
406623032,406601925,3997706,95.514565,52.12,100182.99,1.1903397
406843343,406824873,3997706,95.0733,52.129997,100188.25,1.1904022
407011312,406992809,3997706,94.861916,52.14,100190.75,1.1904318
407242389,407218433,3997706,94.55012,52.149998,100194.49,1.1904763
407462638,407441365,3997706,95.20013,52.16,100186.76,1.1903844
407630538,407609257,3997706,95.13672,52.16,100187.5,1.1903932
407850759,407832188,3997706,94.57126,52.17,100194.24,1.1904733
408018599,408000066,3997706,95.03103,52.17,100188.74,1.190408
408249537,408225667,3997706,94.44443,52.18,100195.74,1.1904911
408469729,408448672,3997706,94.33873,52.17,100197.0,1.1905061
408637633,408616616,3997706,94.38101,52.18,100196.5,1.1905001
408857975,408839488,3997706,94.35987,52.19,100196.75,1.1905031
409026062,409007412,3997706,94.3176,52.199997,100197.25,1.1905091
409256670,409232973,3997706,94.12735,52.21,100199.5,1.1905358
409424743,409400903,3997706,94.10621,52.21,100199.75,1.1905388
409644901,409623846,3997706,93.89747,52.219997,100202.25,1.1905684
409865245,409846817,3997706,93.79177,52.219997,100203.5,1.1905833
410033174,410014686,3997706,94.61089,52.23,100193.75,1.1904675
410263981,410240293,3997706,94.190765,52.23,100198.75,1.190527
410431883,410408170,3997706,94.27532,52.239998,100197.75,1.190515
410652257,410631110,3997706,94.06658,52.239998,100200.24,1.1905446
411040507,411021993,3997706,93.62531,52.25,100205.5,1.1906071
411271319,411247594,3997706,94.35987,52.27,100196.75,1.1905031
411439169,411415458,3997706,94.14848,52.27,100199.25,1.1905328
411659535,411638483,3997706,94.35987,52.27,100196.75,1.1905031
411827686,411806383,3997706,93.87633,52.28,100202.5,1.1905714
412047794,412029300,3997706,93.982025,52.289997,100201.25,1.1905566
412215637,412197166,3997706,93.93975,52.28,100201.74,1.1905624
412446499,412422811,3997706,93.982025,52.289997,100201.25,1.1905566
412666950,412645755,3997706,94.085075,52.3,100200.0,1.1905417
412834712,412813667,3997706,93.64381,52.309998,100205.25,1.1906042
413055184,413036623,3997706,93.87633,52.309998,100202.5,1.1905714
413223080,413204543,3997706,93.855194,52.32,100202.75,1.1905744
413453790,413430072,3997706,93.87633,52.32,100202.5,1.1905714
413621732,413597955,3997706,94.14848,52.329998,100199.25,1.1905328
413842059,413820938,3997706,93.60417,52.34,100205.75,1.19061
414062420,414043925,3997706,93.54076,52.34,100206.5,1.190619
414230229,414211789,3997706,93.77064,52.35,100203.75,1.1905862
414461081,414437384,3997706,93.9186,52.36,100202.0,1.1905656
414629106,414605311,3997706,93.43506,52.36,100207.75,1.1906339
414849378,414828281,3997706,93.39279,52.37,100208.25,1.1906397
415069853,415051262,3997706,93.519615,52.379997,100206.75,1.190622
415237569,415219114,3997706,93.64381,52.37,100205.25,1.1906042
415468429,415444718,3997706,93.09949,52.379997,100211.74,1.1906813
415636366,415612615,3997706,93.93975,52.39,100201.75,1.1905625
415856691,415835560,3997706,93.24481,52.39,100210.0,1.1906606
416024551,416003442,3997706,93.13912,52.399998,100211.26,1.1906755
416245039,416226496,3997706,93.24481,52.41,100210.0,1.1906606
416412841,416394347,3997706,93.72836,52.41,100204.26,1.1905923
416643685,416619899,3997706,93.12063,52.42,100211.5,1.1906784
416864098,416842877,3997706,93.09949,52.43,100211.74,1.1906813
417031852,417010750,3997706,92.9938,52.43,100213.0,1.1906962
417252282,417233723,3997706,93.83405,52.43,100203.0,1.1905774
417420059,417401606,3997706,92.65822,52.44,100217.01,1.1907439
417650908,417627192,3997706,92.84847,52.449997,100214.75,1.190717
417871298,417850213,3997706,92.61594,52.449997,100217.49,1.1907496
418039148,418018117,3997706,92.195816,52.46,100222.5,1.190809
418259508,418241035,3997706,92.51025,52.469997,100218.74,1.1907644
418427570,418408966,3997706,92.49175,52.469997,100219.0,1.1907675
418658282,418634498,3997706,92.4072,52.48,100219.99,1.1907792
418826289,418802427,3997706,92.02935,52.48,100224.5,1.1908329
419046433,419025358,3997706,91.965935,52.489998,100225.25,1.1908417
419266839,419248429,3997706,91.52466,52.5,100230.5,1.1909041
419434700,419416263,3997706,91.3582,52.5,100232.49,1.1909279
419665583,419641867,3997706,92.51025,52.51,100218.74,1.1907644
419833449,419809722,3997706,92.44948,52.51,100219.49,1.1907734
420053795,420032704,3997706,92.65822,52.52,100217.0,1.1907438
420274165,420255667,3997706,92.57366,52.53,100218.0,1.1907556
420441986,420423542,3997706,92.637085,52.52,100217.25,1.1907467
420672851,420649134,3997706,92.47061,52.539997,100219.24,1.1907704
420840809,420817064,3997706,92.44948,52.539997,100219.49,1.1907734
421061203,421040059,3997706,92.70049,52.539997,100216.5,1.1907378
421229187,421207915,3997706,92.763916,52.539997,100215.75,1.1907289
421449336,421430864,3997706,92.5948,52.559998,100217.74,1.1907525
421617299,421598743,3997706,92.637085,52.57,100217.24,1.1907465
421848139,421824362,3997706,92.78505,52.57,100215.5,1.1907258
422068393,422047343,3997706,92.61594,52.579998,100217.49,1.1907496
422236270,422215214,3997706,92.49175,52.59,100219.0,1.1907675
422456746,422438238,3997706,92.61594,52.59,100217.5,1.1907496
422624881,422606160,3997706,92.827324,52.59,100215.0,1.19072
422855415,422831658,3997706,92.61594,52.6,100217.5,1.1907496
423023269,422999544,3997706,92.827324,52.61,100215.0,1.19072
423243761,423222577,3997706,92.67936,52.61,100216.75,1.1907407
423464068,423445537,3997706,92.80354,52.62,100215.25,1.190723
423631887,423613430,3997706,92.61594,52.62,100217.49,1.1907496
423862727,423839053,3997706,92.80354,52.629997,100215.25,1.190723
424030625,424006906,3997706,92.61594,52.64,100217.5,1.1907496
424250938,424229829,3997706,92.5948,52.64,100217.75,1.1907526
424471345,424452822,3997706,92.933014,52.649998,100213.74,1.1907051
424639226,424620716,3997706,92.67936,52.649998,100216.75,1.1907407
424870040,424846314,3997706,92.721634,52.66,100216.25,1.1907349
425038027,425014256,3997706,92.70049,52.67,100216.49,1.1907377
425258254,425237208,3997706,92.637085,52.67,100217.25,1.1907467
