timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
396870547,22.769037,22.679031,0.0,3.5e-44,-1.0,0.000497488,0.5417538,1.0826896,nan,6,3.7798386,3.7798386,3.7798386,3.7798386,3.7798386,3.7798386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
397070544,22.580118,22.688885,0.0,3.5e-44,-1.0,0.000497488,0.54377943,1.0822941,nan,6,3.7814808,3.7814808,3.7814808,3.7814808,3.7814808,3.7814808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
397271062,22.727966,22.678328,0.0,3.5e-44,-1.0,0.000497488,0.54176766,1.082687,nan,6,3.7797213,3.7797213,3.7797213,3.7797213,3.7797213,3.7797213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
397470547,22.69511,22.674555,0.0,3.5e-44,-1.0,0.000497488,0.54062754,1.0829098,nan,6,3.7790926,3.7790926,3.7790926,3.7790926,3.7790926,3.7790926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
397670957,22.769037,22.688059,0.0,3.5e-44,-1.0,0.000497488,0.54282385,1.0824808,nan,6,3.7813432,3.7813432,3.7813432,3.7813432,3.7813432,3.7813432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
397870762,22.497978,22.669462,0.0,3.5e-44,-1.0,0.000497488,0.53864676,1.0832971,nan,6,3.7782438,3.7782438,3.7782438,3.7782438,3.7782438,3.7782438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
398071133,22.867605,22.673569,0.0,3.5e-44,-1.0,0.000497488,0.54032904,1.0829681,nan,6,3.778928,3.778928,3.778928,3.778928,3.778928,3.778928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
398270845,22.588331,22.69723,0.0,3.5e-44,-1.0,0.000497488,0.5444403,1.0821651,nan,6,3.7828715,3.7828715,3.7828715,3.7828715,3.7828715,3.7828715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
398471862,22.621187,22.671476,0.0,3.5e-44,-1.0,0.000497488,0.5394445,1.0831411,nan,6,3.7785795,3.7785795,3.7785795,3.7785795,3.7785795,3.7785795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
398670541,22.621187,22.679903,0.0,3.5e-44,-1.0,0.000497488,0.54073864,1.0828881,nan,6,3.7799838,3.7799838,3.7799838,3.7799838,3.7799838,3.7799838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
