timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
403571518,403571388,1114122,2228234,0.00031759212,-0.0003471263,0.00014706758,0.003322631,-0.0006645354,-0.053393926,6304,5593,0,3
404073678,404073201,1114122,2228234,-0.0001720034,-9.6244374e-05,-6.186147e-05,-0.00021983898,0.003706482,-0.052696083,4521,4449,0,3
404573987,404573847,1114122,2228234,-0.00016067587,-5.0997325e-05,-0.00013991671,-0.0026938072,0.0010041782,-0.045669578,4516,4450,0,3
405073296,405073041,1114122,2228234,0.00012488902,-3.576086e-05,-2.4983503e-05,0.0020633496,0.0085238,-0.06341317,4550,4708,0,3
405572802,405572674,1114122,2228234,-4.689218e-05,0.00032164753,-0.00011674399,-0.0013020468,0.008917377,-0.06502017,8011,5993,0,3
406071504,406070328,1114122,2228234,-0.00042598136,-1.5129986e-05,3.079351e-06,0.00014516654,-0.0020465394,-0.056398917,5027,5804,0,3
406573890,406573668,1114122,2228234,-4.050996e-05,-0.00014559251,0.00011044828,-0.00485202,-0.009350207,-0.04402976,4674,4796,0,3
407069713,407063693,1114122,2228234,-0.00043078937,0.00032481473,1.6507616e-05,0.0038407312,0.006998672,-0.037706472,4537,5677,0,3
407570480,407570233,1114122,2228234,-5.302597e-05,0.000410683,3.5051664e-05,-0.0069784177,-0.00739001,-0.03683315,5970,6039,0,3
408073194,408073020,1114122,2228234,-0.00019276634,-0.00013277744,0.00016160587,-0.00022321359,-0.0029155242,-0.046732955,5121,4476,0,3
408572198,408572090,1114122,2228234,0.00016402807,0.00011790122,-7.445053e-05,-0.0014430139,-0.0020440645,-0.04719374,4998,4778,0,3
409072364,409072241,1114122,2228234,-0.000117631775,0.00027447197,-0.00012393488,0.0027472826,0.008776242,-0.05489992,7471,5819,0,3
409574681,409574519,1114122,2228234,-0.00033016803,-4.4861332e-05,-1.4291365e-05,-0.006731521,-0.014264467,-0.049249433,4607,4730,0,3
410072362,410070519,1114122,2228234,9.188703e-05,0.0003170707,-5.2512947e-05,0.0072115385,0.012382788,-0.05525422,5791,4770,0,3
410569831,410569673,1114122,2228234,0.00014472542,-2.0524263e-05,5.3633597e-05,-0.0050418004,-0.0030884165,-0.058212996,5579,5124,0,3
411072098,411070392,1114122,2228234,2.73888e-05,0.00017698926,-1.951356e-05,0.0038657729,0.0052830325,-0.040741466,4579,4191,0,3
411573041,411570999,1114122,2228234,-0.00023709227,8.7261564e-05,3.2094154e-05,0.002955112,0.0051283822,-0.046590447,4459,4765,0,3
412070277,412070124,1114122,2228234,-0.00025971726,-0.00028007576,-6.935997e-05,0.002457982,-0.0050718053,-0.047612265,5257,5190,0,3
412572789,412570833,1114122,2228234,-5.762863e-05,-5.0776067e-05,0.00016580992,3.5987527e-05,-0.0054199393,-0.04557787,4492,4468,0,3
413073077,413072304,1114122,2228234,-0.00013461054,0.00013623115,1.4928721e-05,-0.0004998214,0.005311698,-0.05542423,5357,4609,0,3
413572310,413571370,1114122,2228234,-0.00023656544,0.00019935373,8.8326975e-05,0.00040868728,-0.0061624446,-0.05176098,5006,4798,0,3
414072908,414071308,1114122,2228234,-0.00021560618,-7.146458e-05,0.00013931376,-0.00031904105,-0.0012293768,-0.04837108,4553,4464,0,3
414563316,414562973,1114122,2228234,-0.0001620096,0.000102126876,2.2012111e-05,-0.0046218587,-0.0060450328,-0.06168173,5608,6217,0,3
415069951,415069764,1114122,2228234,2.1470185e-05,8.705427e-05,-0.00016609873,0.0027230782,0.0048518917,-0.05430474,5474,5734,0,3
415572077,415571778,1114122,2228234,-5.49203e-05,-1.3880762e-05,3.3932378e-05,-0.0026108858,0.008586232,-0.082736336,5555,5839,0,3
416074650,416069411,1114122,2228234,-6.8053814e-05,-3.0069894e-05,-8.991264e-05,0.0009052331,0.0029356745,-0.027903402,4432,5611,0,3
416573281,416573157,1114122,2228234,-7.200255e-05,-2.1477905e-05,-3.014712e-05,0.00055415445,-0.008096462,-0.0656111,6021,5928,0,3
417075385,417072307,1114122,2228234,0.000107372885,0.00015055925,-8.622042e-05,0.005099067,0.007280172,-0.04934268,4563,5726,0,3
417573307,417572895,1114122,2228234,0.00016076984,1.6039843e-05,-8.163833e-05,-0.0009638675,-0.0009411257,-0.04605893,5390,5680,0,3
418070765,418070615,1114122,2228234,0.00021433392,5.5750283e-05,0.00018992294,-0.004539222,-0.0034667924,-0.048405416,5471,5697,0,3
418568632,418568505,1114122,2228234,0.00038536696,-0.00035688392,7.307037e-05,-0.00876792,0.0004756543,-0.06558719,6306,5618,0,3
419074113,419073426,1114122,2228234,-7.274011e-05,0.00012775844,4.9633836e-05,-0.0039236685,-0.0089523345,-0.04118781,4601,4534,0,3
419569879,419569521,1114122,2228234,-1.0606306e-05,0.0015565542,-0.00066025404,0.018067101,-0.009435709,-0.03710226,4426,4208,0,3
420074932,420073146,1114122,2228234,0.0004947554,0.0010029424,-0.000287697,0.007907646,-0.00830953,-0.07937936,4462,6121,0,3
420570933,420570828,1114122,2228234,-0.00011194354,-0.00025490238,8.4783234e-05,0.0023815387,-0.0012467325,-0.042191356,5329,4403,0,3
421074614,421068860,1114122,2228234,-5.7094065e-05,3.0104693e-05,6.2198495e-05,0.00064903457,0.00087311823,-0.043510657,4752,4507,0,3
421574569,421574368,1114122,2228234,6.76433e-06,-7.4785557e-06,0.0001001702,-0.0009755905,0.0008159524,-0.046124313,4992,4824,0,3
422068572,422066885,1114122,2228234,-3.8538925e-05,1.53147e-05,3.5940313e-05,-0.00086013897,-0.00052918424,-0.04473468,4578,4591,0,3
422573761,422573463,1114122,2228234,-0.00015113613,-3.326561e-05,-5.2425225e-05,-0.0010842024,-3.404855e-05,-0.049075466,5248,5101,0,3
423070296,423070145,1114122,2228234,-4.1712094e-05,3.094909e-05,-6.1746694e-05,-0.0012722696,0.0006987343,-0.042884577,4942,4441,0,3
423570447,423570275,1114122,2228234,-7.180504e-05,-5.863393e-06,-5.701637e-05,-0.00056073687,0.0010900141,-0.044538658,4481,4475,0,3
424071296,424070941,1114122,2228234,-9.7133525e-05,1.9431274e-05,-1.6604972e-05,0.0001868872,0.0010521704,-0.04165956,4488,4286,0,3
424575367,424574725,1114122,2228234,-1.2336732e-05,2.7168695e-05,-5.893961e-06,-0.00072359905,0.00073142454,-0.046155326,4604,4756,0,3
425071601,425070817,1114122,2228234,-4.7003436e-05,-2.6592177e-05,-1.0350459e-05,-0.0015723181,0.0011386486,-0.043265298,4525,4465,0,3
