timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
401800290,401797114,0.19387558,2.652149,-2.447121,-1.1257486,0.03237783,1.1636713,2.4327815,-0.053578775,-0.18545063,-0.07555089,0.114131294,0.15569401,0.32781726,0.15255132,-0.010039791,0.02274163,0.23106815,0.14147739,0.20534858,0.26970232,0.23006792,0.15340374
402803857,402799923,0.16666223,2.578498,-2.4464624,-1.1235416,0.025507066,1.1491358,2.4217482,0.1417502,-0.026569301,-0.041851558,0.087575674,0.2192172,0.16784102,0.12768145,-0.024844706,-0.10121706,0.0021806061,0.13753457,0.20707308,0.2759787,0.23072273,0.14869086
403799947,403798217,0.09212953,2.5296164,-2.4340239,-1.119713,0.01876259,1.1424592,2.4264045,0.17354222,0.045036405,0.0022516623,0.07804105,0.19473699,-0.15067528,-0.14480847,-0.24986698,-0.3320808,-0.28605556,0.13739389,0.21325965,0.28013456,0.22590059,0.14331129
404798231,404796521,0.029340165,2.5364747,-2.4392102,-1.1331064,0.0028867335,1.1319884,2.4230616,-0.093540296,-0.13639468,-0.01967775,0.10433696,0.07965058,0.13668448,-0.019231193,-0.102196746,-0.032059282,0.12621571,0.14004469,0.2173538,0.279181,0.22141097,0.14200954
405802563,405799347,0.043033414,2.503392,-2.4550567,-1.1435994,-0.008856508,1.1146789,2.4023235,-0.15451609,-0.14310811,0.06471202,0.21113724,0.103089675,0.040593755,-0.20652987,-0.2713223,-0.11281636,0.105560586,0.13712338,0.2153929,0.28182608,0.22434019,0.14131741
406805469,406802128,0.10495143,2.474554,-2.4538498,-1.1328202,0.0030482823,1.1191742,2.3990185,-0.13729908,-0.21065098,-0.07313189,0.089647494,0.08021132,0.14205864,-0.05070035,-0.16813144,-0.09565934,0.10518481,0.13315627,0.21086857,0.28428593,0.22983132,0.14185785
407799239,407795943,0.12355973,2.4641125,-2.4475188,-1.1244662,0.011493613,1.1259449,2.4042387,0.087067485,-0.062067617,0.020186987,0.20299369,0.27671388,0.08860187,-0.06366789,-0.23097341,-0.22895506,-0.036485296,0.13219735,0.20990539,0.28496498,0.23106334,0.141869
408801992,408798788,0.09571926,2.475557,-2.439213,-1.1222594,0.013455814,1.1328317,2.4157677,-0.015607772,-0.18127957,-0.096037656,0.10501972,0.18968031,0.14347379,-0.019018985,-0.20411891,-0.20660825,0.0037112976,0.13479586,0.21267672,0.28323027,0.2276026,0.14169449
409798791,409797055,0.07933739,2.4376097,-2.441442,-1.1246307,0.0070041027,1.1234785,2.4084687,0.023294624,-0.20073134,-0.12435576,0.12043767,0.2536009,0.41772193,0.24424192,0.0069006532,-0.025565162,0.21915157,0.1331489,0.21386804,0.2862036,0.22742082,0.13935862
410802368,410799868,0.07899471,2.3860502,-2.4367373,-1.1179953,0.008335059,1.1193436,2.405397,0.11366999,-0.08764328,-0.07232404,0.10527295,0.25170723,0.21277797,0.12118374,-0.071177505,-0.14033961,0.018985592,0.12997064,0.21439691,0.29088137,0.22844999,0.13630113
411800046,411798193,0.029220942,2.3572917,-2.4316628,-1.1191251,0.0010102125,1.112525,2.4061196,0.20285521,0.07103875,0.023351282,0.09613186,0.21981123,0.023264473,0.032967627,-0.07186708,-0.16002564,-0.11879111,0.13020054,0.21918364,0.29352295,0.2244512,0.1326416
412798418,412796488,-0.03533823,2.3416855,-2.4202304,-1.1176199,-0.0040500504,1.1109455,2.4150386,0.11263201,0.016226232,0.017693713,0.09920585,0.17366993,-0.23417298,-0.2723548,-0.36256737,-0.40104333,-0.32937256,0.13207087,0.22594209,0.29495078,0.21818057,0.12885572
413802426,413799300,-0.011447904,2.379559,-2.4199944,-1.1158302,0.003907011,1.1223418,2.422187,-0.1771507,-0.16884553,-0.0050006993,0.11553017,0.032058507,-0.08326385,-0.28064975,-0.33473498,-0.21120688,-0.032288954,0.13404638,0.22343984,0.29080498,0.21933788,0.13237086
414809995,414806621,0.048229966,2.365916,-2.4183724,-1.1061733,0.016189963,1.1298535,2.422204,-0.2767313,-0.30337846,-0.0829977,0.10858235,0.026205674,0.122928105,-0.15640765,-0.26313812,-0.11246506,0.15312207,0.13120118,0.21855539,0.2917635,0.22451904,0.13396081
415802346,415800439,0.105649255,2.3494163,-2.4262114,-1.10494,0.02033838,1.1285278,2.4124885,-0.15795839,-0.23484232,-0.05024144,0.1522249,0.1263683,0.1681912,-0.08564328,-0.22376566,-0.11985609,0.13794753,0.12785402,0.21293004,0.29288638,0.23060374,0.13572575
416801142,416798749,0.11605802,2.3546565,-2.4398613,-1.1162678,0.011492381,1.1197033,2.4007068,-0.12506235,-0.28749198,-0.1108927,0.15425773,0.19787839,0.14268854,-0.13214964,-0.34562373,-0.28181827,0.02550999,0.12772886,0.21078542,0.2916802,0.23242666,0.13737884
417799391,417797067,0.094837815,2.3253422,-2.4503875,-1.1271387,-0.002190275,1.1041815,2.3867583,-0.054691225,-0.27085721,-0.10434869,0.196998,0.28667495,0.23287563,-0.049239475,-0.3085497,-0.2737601,0.059956044,0.12651546,0.21166717,0.29394984,0.23224694,0.1356206
418802150,418799929,0.0672524,2.2323298,-2.4386244,-1.116222,-0.001968019,1.0970197,2.3851748,0.047192834,-0.19471234,-0.07555381,0.21193567,0.3457728,0.3504321,0.11471067,-0.15124321,-0.16296569,0.13873509,0.12167822,0.21530193,0.30317718,0.23129354,0.12854911
419800147,419798201,0.084567,2.178654,-2.448042,-1.1198004,-0.008101903,1.0842625,2.3689814,0.08794295,-0.4933368,-0.45687675,0.04250303,0.48046997,0.66441417,0.4034629,-0.14308971,-0.3541851,0.09205912,0.117060356,0.2125395,0.30820477,0.23553558,0.12665984
420802845,420801024,0.06288736,2.1226888,-2.4548335,-1.1264046,-0.020135906,1.0677972,2.354703,-0.011573531,-0.20492047,-0.05553907,0.2132107,0.3006763,0.22805269,-0.029839385,-0.2601893,-0.23286428,0.06778895,0.11387377,0.21389593,0.3138856,0.23560071,0.12274403
421801894,421799341,0.06412011,2.1400118,-2.4569163,-1.1293337,-0.020599743,1.0699261,2.3563993,-0.10030756,-0.2518462,-0.09209809,0.15203074,0.20161232,0.18442905,-0.0707569,-0.26743367,-0.21536565,0.069273315,0.11539566,0.21361968,0.31140333,0.23525551,0.12432587
422799387,422797665,0.06307318,2.1385555,-2.4558032,-1.1287633,-0.019828081,1.0712916,2.3580995,-0.08548054,-0.23324494,-0.08600536,0.14557274,0.19742523,0.17375827,-0.06433034,-0.25306177,-0.20826994,0.05965028,0.1156702,0.21385224,0.31113964,0.23494652,0.12439147
423802342,423800486,0.05943292,2.1189637,-2.4540448,-1.1270406,-0.01984401,1.0699604,2.357555,-0.0387125,-0.18864077,-0.054859452,0.16817729,0.22765814,0.24312457,0.020919481,-0.16487631,-0.13062906,0.12366523,0.114645585,0.21437833,0.3130261,0.2348838,0.12306616
424621567,424618941,0.057917666,2.1066115,-2.453278,-1.126211,-0.019921247,1.0691317,2.3570719,-0.071528494,-0.2182281,-0.09086896,0.12474679,0.18504457,0.19410892,-0.019329134,-0.19981152,-0.16914885,0.07601915,0.114025414,0.21459799,0.31410965,0.23492774,0.122339204
