timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
371620409,371619352,0.9995302,-0.0027062232,-0.0015694727,-0.03049175,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371669795,371668819,0.99952924,-0.0027018643,-0.0015123935,-0.030527033,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371719337,371718265,0.9995313,-0.0026560402,-0.0014606756,-0.030464754,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371773085,371772225,0.9995303,-0.0026515422,-0.0015311597,-0.030494934,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371823000,371821706,0.9995278,-0.0026733014,-0.0015606838,-0.030569943,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371872401,371871167,0.9995278,-0.0026645125,-0.001542779,-0.030574774,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371921528,371920615,0.9995285,-0.0026870128,-0.0015432202,-0.030546384,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
371970983,371970079,0.9995276,-0.002701914,-0.0015655579,-0.030575257,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372020636,372019547,0.9995261,-0.0027062302,-0.0015703712,-0.03062686,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372070030,372069005,0.99952686,-0.0026502768,-0.0015391336,-0.03060511,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372124413,372122969,0.9995272,-0.0025844849,-0.0015580654,-0.03060081,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372173308,372172429,0.9995271,-0.0025594353,-0.0015791917,-0.0306051,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372222755,372221909,0.999526,-0.0025446478,-0.00155957,-0.030641256,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372272425,372271356,0.9995271,-0.0025319173,-0.0015401855,-0.030609371,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372321789,372320820,0.9995276,-0.0025196362,-0.0015659984,-0.030593416,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372371263,372370283,0.99952626,-0.002556105,-0.0015857839,-0.03063143,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372420630,372419746,0.9995263,-0.0025312332,-0.0015279956,-0.030635782,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372474633,372473706,0.9995286,-0.0025536583,-0.0015329148,-0.03055786,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372524419,372523174,0.99952763,-0.0026151482,-0.0015708624,-0.030581765,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
