timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
368530137,-0.026537579,-0.0015897417,0.028072933,4496,0,0.2364347,0.6820358,-9.594077,4496,0
368534620,0.00987273,0.0140150115,0.02031787,4483,0,-0.5794441,0.4632721,-9.890323,4483,0
368539117,-0.02381896,0.02084914,0.005798557,4497,0,0.02373837,0.14846337,-9.877367,4497,0
368543623,-6.7592923e-06,-0.006930202,0.008140746,4506,0,0.4765621,0.8628645,-9.702547,4506,0
368548121,0.019096667,0.006374423,-0.006140345,4498,0,-0.040348712,0.53177786,-9.403988,4498,0
368552607,-0.003905314,0.0033893774,-0.012597607,4486,0,0.58567697,0.20260723,-8.938987,4486,0
368557111,0.027351817,-0.022047203,-0.0062153134,4504,0,0.12677689,0.0918825,-9.558385,4504,0
368561614,0.0032021506,0.014982536,-0.015081755,4503,0,-0.864256,-0.85176754,-10.362621,4503,0
368566100,-0.01756326,0.01772112,-0.010576145,4486,0,0.10124516,-0.59868765,-9.661444,4486,0
368570596,0.0050304458,-0.004219627,0.00504482,4496,0,-0.0111390585,-0.349484,-9.682942,4496,0
368575097,-0.023974825,0.022191178,0.003291037,4501,0,-0.62405616,-0.7768549,-10.402267,4501,0
368579590,-0.025905915,0.0047681183,0.008421529,4493,0,0.2852907,0.045816343,-9.845389,4493,0
368584098,0.0052377363,0.0014924948,0.0061131166,4508,0,-0.22658715,0.023582669,-9.964266,4508,0
368588603,-0.025913889,0.010412394,-0.0064712744,4505,0,-0.15698403,-0.0209299,-9.970724,4505,0
368593092,-0.008681371,-0.00047279985,-0.009423998,4489,0,0.4591729,0.65774155,-9.592049,4489,0
368597576,0.0067696483,-0.0136849815,-0.014528546,4484,0,0.13851425,0.62809604,-9.747555,4484,0
368602081,-0.014810216,-0.009456354,-0.020898987,4505,0,0.0621742,0.47326052,-9.993259,4505,0
368606571,0.010864442,-0.011700931,-0.020788988,4490,0,0.1618815,0.40981588,-10.18495,4490,0
368611064,-0.0004040429,-0.001262258,-0.021412529,4493,0,-0.2916066,-0.33376843,-10.2634735,4493,0
368615567,-0.01626376,0.01096681,-0.02004509,4503,0,0.08839071,-0.54123676,-9.976131,4503,0
368620081,0.000112863076,-0.0045197257,-0.0056486386,4514,0,0.0451156,-0.27621058,-9.656089,4514,0
368624573,-0.009771114,0.009644836,-0.007590543,4492,0,-0.3507535,-0.5609104,-10.026454,4492,0
368629051,-0.02608858,0.009534235,-0.0018940177,4478,0,0.09863235,-0.29995602,-9.697024,4478,0
368633551,-0.010252377,-0.0010788454,0.0032088826,4500,0,0.04300145,0.35258257,-9.971377,4500,0
368638047,-0.012945091,0.004594885,-0.0071883886,4496,0,-0.09988162,0.473457,-10.157429,4496,0
368642550,-0.014198026,0.0065935906,-0.011605698,4503,0,0.31185368,0.6831423,-9.672309,4503,0
368647037,-0.0045422916,-0.0138326315,-0.010303107,4487,0,0.40488964,0.80250186,-9.394237,4487,0
368651541,-0.0035960395,-0.0055674673,-0.016777636,4504,0,-0.12757592,0.7957233,-9.85936,4504,0
368656031,-0.0007422672,-0.00023938685,-0.017919986,4490,0,0.020994924,0.2014854,-9.923363,4490,0
368660532,-0.0023943705,-0.006544436,-0.012274707,4501,0,-0.032995235,-0.09158807,-10.071746,4501,0
368665033,-0.0004237555,-0.0069250385,-0.010268823,4501,0,-0.27078268,-0.57947785,-9.796278,4501,0
368669521,0.0006673511,0.0054019997,-0.0029037404,4488,0,-0.36049563,-0.85576594,-10.008161,4488,0
368674028,-0.021019436,0.0032047695,0.0072973534,4507,0,-0.317963,-0.7428453,-10.272536,4507,0
